#    Z       m        H              D           He3            He4          C12         C13P          N14P          O16            Mrem     C13           N14
  0.0080    1.70   -0.402E-01   -0.302E-04    0.279E-03    0.276E-01    0.105E-01    0.000E+00    0.000E+00     -0.471E-06       0.63    0.188E-04    0.170E-03
  0.0080    1.86   -0.504E-01   -0.310E-04    0.213E-03    0.362E-01    0.136E-01    0.000E+00    0.000E+00      0.168E-03       0.66    0.180E-04    0.219E-03
  0.0080    2.04   -0.552E-01   -0.318E-04    0.176E-03    0.404E-01    0.145E-01    0.000E+00    0.000E+00      0.179E-03       0.69    0.184E-04    0.277E-03
  0.0080    2.23   -0.601E-01   -0.325E-04    0.146E-03    0.471E-01    0.157E-01    0.000E+00    0.000E+00      0.204E-03       0.72    0.188E-04    0.339E-03
  0.0080    2.45   -0.649E-01   -0.331E-04    0.120E-03    0.479E-01    0.159E-01    0.000E+00    0.000E+00      0.170E-03       0.76    0.193E-04    0.370E-03
  0.0080    2.68   -0.637E-01   -0.335E-04    0.988E-04    0.477E-01    0.158E-01    0.000E+00    0.000E+00      0.137E-03       0.81    0.199E-04    0.391E-03
  0.0080    2.94   -0.647E-01   -0.336E-04    0.807E-04    0.471E-01    0.156E-01    0.000E+00    0.000E+00      0.107E-03       0.88    0.202E-04    0.403E-03
  0.0080    3.22   -0.570E-01   -0.344E-04    0.680E-04    0.403E-01    0.128E-01    0.120E-04    0.432E-07     -0.126E-03       0.91    0.212E-04    0.423E-03
  0.0080    3.52   -0.430E-01   -0.352E-04    0.552E-04    0.338E-01    0.940E-02    0.622E-04    0.140E-03     -0.391E-03       0.94    0.281E-04    0.456E-03
  0.0080    3.86   -0.359E-01   -0.359E-04    0.912E-05    0.297E-01    0.389E-02    0.541E-03    0.197E-02     -0.692E-03       0.97    0.104E-03    0.619E-03
  0.0080    4.23   -0.414E-01   -0.368E-04   -0.139E-04    0.343E-01    0.733E-03    0.409E-03    0.336E-02     -0.963E-03       0.99    0.738E-04    0.101E-02
  0.0080    4.63   -0.489E-01   -0.374E-04   -0.205E-04    0.465E-01   -0.495E-03    0.726E-04    0.374E-02     -0.123E-02       1.02    0.120E-04    0.141E-02
  0.0080    5.07   -0.586E-01   -0.381E-04   -0.185E-04    0.551E-01   -0.514E-03    0.499E-04    0.256E-02     -0.137E-02       1.05    0.157E-04    0.149E-02
  0.0080    5.56   -0.541E-01   -0.378E-04   -0.234E-05    0.514E-01   -0.194E-03    0.218E-04    0.112E-02     -0.534E-03       1.18    0.328E-04    0.126E-02
  0.0080    6.09   -0.528E-01   -0.378E-04    0.937E-05    0.525E-01    0.479E-04    0.000E+00    0.000E+00      0.102E-03       1.30    0.463E-04    0.111E-02
  0.0080    6.67   -0.745E-01   -0.386E-04    0.454E-05    0.734E-01    0.540E-05    0.000E+00    0.000E+00     -0.109E-04       1.30    0.471E-04    0.128E-02
  0.0080    7.30   -0.929E-01   -0.395E-04    0.137E-06    0.927E-01   -0.329E-04    0.000E+00    0.000E+00     -0.115E-03       1.30    0.481E-04    0.145E-02
  0.0080    8.00   -0.110E+00   -0.402E-04   -0.391E-05    0.109E+00   -0.688E-04    0.000E+00    0.000E+00     -0.219E-03       1.30    0.488E-04    0.159E-02
  0.0200    0.82   -0.754E-02   -0.170E-04    0.684E-03    0.413E-02   -0.113E-03    0.000E+00    0.000E+00     -0.110E-02       0.53    0.178E-04   -0.744E-04
  0.0200    0.90   -0.492E-02   -0.187E-04    0.796E-03    0.603E-02   -0.123E-03    0.000E+00    0.000E+00     -0.118E-02       0.55    0.180E-04   -0.656E-04
  0.0200    0.98   -0.591E-02   -0.216E-04    0.821E-03    0.673E-02   -0.153E-03    0.000E+00    0.000E+00     -0.137E-02       0.54    0.236E-04   -0.612E-04
  0.0200    1.08   -0.571E-02   -0.236E-04    0.735E-03    0.812E-02   -0.204E-03    0.000E+00    0.000E+00     -0.149E-02       0.55    0.288E-04   -0.259E-04
  0.0200    1.18   -0.638E-02   -0.252E-04    0.549E-03    0.842E-02   -0.314E-03    0.000E+00    0.000E+00     -0.160E-02       0.56    0.361E-04    0.703E-04
  0.0200    1.29   -0.851E-02   -0.272E-04    0.505E-03    0.665E-02   -0.372E-03    0.000E+00    0.000E+00     -0.174E-02       0.56    0.397E-04    0.105E-03
