#    Z       m        H              D           He3            He4          C12                 O16            Ne20       Mg24          Si28        S32           Ca40         Fe56         Mrem     C13s           N14s
  0.0200   17.00   -0.219E+00   -0.429E-04    0.723E-05    0.103E+00    0.165E-01    0.496E-01    0.238E-01    0.435E-02    0.971E-02    0.310E-02    0.740E-04    0.853E-02    1.62    0.479E-04    0.232E-02
  0.0200   20.00   -0.243E+00   -0.434E-04    0.505E-05    0.884E-01    0.148E-01    0.726E-01    0.464E-01    0.790E-02    0.692E-02    0.304E-02    0.353E-04    0.196E-02    1.69    0.456E-04    0.205E-02
  0.0200   25.00   -0.277E+00   -0.441E-04    0.277E-05    0.720E-01    0.217E-01    0.106E+00    0.504E-01    0.783E-02    0.792E-02    0.270E-02    0.403E-04    0.438E-02    1.77    0.421E-04    0.188E-02
  0.0200   30.00   -0.297E+00   -0.445E-04    0.132E-05    0.614E-01    0.272E-01    0.136E+00    0.480E-01    0.818E-02    0.931E-02    0.266E-02   -0.416E-04    0.220E-02    1.88    0.379E-04    0.197E-02
  0.0200   35.00   -0.310E+00   -0.448E-04    0.347E-06    0.653E-01    0.366E-01    0.139E+00    0.489E-01    0.741E-02    0.594E-02    0.168E-02   -0.186E-03    0.139E-02    1.97    0.352E-04    0.312E-02
  0.0200   40.00   -0.321E+00   -0.450E-04   -0.521E-06    0.807E-01    0.482E-01    0.130E+00    0.412E-01    0.645E-02    0.638E-02    0.203E-02   -0.105E-03    0.179E-02    2.04    0.282E-04    0.367E-02
  0.0200   50.00   -0.340E+00   -0.454E-04   -0.194E-05    0.102E+00    0.527E-01    0.132E+00    0.332E-01    0.578E-02    0.722E-02    0.220E-02   -0.117E-03    0.166E-02    2.17    0.145E-04    0.401E-02
  0.0200   60.00   -0.352E+00   -0.456E-04   -0.306E-05    0.116E+00    0.559E-01    0.133E+00    0.280E-01    0.534E-02    0.777E-02    0.229E-02   -0.126E-03    0.157E-02    2.30    0.529E-05    0.424E-02
  0.0200   80.00   -0.374E+00   -0.452E-04   -0.561E-05    0.120E+00    0.541E-01    0.145E+00    0.292E-01    0.662E-02    0.863E-02    0.288E-02    0.260E-04    0.293E-02    2.45   -0.558E-06    0.427E-02
  0.0200  100.00   -0.370E+00   -0.433E-04   -0.669E-05    0.119E+00    0.520E-01    0.143E+00    0.284E-01    0.743E-02    0.884E-02    0.299E-02    0.468E-04    0.453E-02    2.45   -0.161E-05    0.420E-02
  0.0500   11.00   -0.214E+00   -0.391E-04    0.692E-04    0.147E+00    0.769E-02    0.305E-01    0.112E-01    0.260E-02    0.780E-02    0.148E-02   -0.591E-03    0.313E-02    1.74    0.133E-03    0.666E-02
  0.0500   12.00   -0.237E+00   -0.400E-04    0.659E-04    0.146E+00    0.147E-01    0.321E-01    0.777E-02   -0.730E-03    0.178E-01    0.135E-01    0.757E-03    0.379E-02    1.69    0.130E-03    0.714E-02
  0.0500   13.00   -0.260E+00   -0.408E-04    0.631E-04    0.140E+00    0.204E-01    0.412E-01    0.477E-02   -0.894E-03    0.176E-01    0.635E-02   -0.608E-04    0.300E-01    1.61    0.126E-03    0.690E-02
  0.0500   14.00   -0.278E+00   -0.413E-04    0.600E-04    0.135E+00    0.197E-01    0.595E-01    0.102E-01    0.518E-02    0.173E-01    0.443E-02   -0.301E-03    0.282E-01    1.58    0.124E-03    0.656E-02
  0.0500   15.00   -0.297E+00   -0.419E-04    0.579E-04    0.131E+00    0.193E-01    0.680E-01    0.215E-01    0.727E-02    0.160E-01    0.412E-02   -0.372E-03    0.312E-01    1.52    0.121E-03    0.633E-02
  0.0500   16.00   -0.303E+00   -0.421E-04    0.550E-04    0.125E+00    0.265E-01    0.737E-01    0.309E-01    0.337E-02    0.200E-01    0.603E-02   -0.266E-03    0.206E-01    1.54    0.127E-03    0.595E-02
  0.0500   17.00   -0.311E+00   -0.423E-04    0.548E-04    0.121E+00    0.224E-01    0.758E-01    0.477E-01    0.546E-02    0.159E-01    0.488E-02   -0.285E-03    0.213E-01    1.56    0.119E-03    0.580E-02
  0.0500   20.00   -0.334E+00   -0.428E-04    0.504E-04    0.887E-01    0.145E-01    0.112E+00    0.920E-01    0.123E-01    0.901E-02    0.466E-02   -0.403E-03    0.491E-02    1.64    0.114E-03    0.513E-02
  0.0500   25.00    0.200E+00   -0.428E-04    0.462E-04    0.615E-01    0.279E-01    0.148E+00    0.888E-01    0.141E-01    0.103E-01    0.327E-02   -0.374E-03    0.109E-01    2.06    0.498E-04    0.404E-02
  0.0500   30.00    0.139E+00   -0.437E-04    0.428E-04    0.352E-01    0.330E-01    0.192E+00    0.102E+00    0.138E-01    0.718E-02   -0.482E-04    0.000E+00    0.549E-02    1.91    0.806E-04    0.405E-02
  0.0500   35.00   -0.200E+00   -0.435E-04    0.410E-04    0.604E-01    0.650E-01    0.161E+00    0.631E-01    0.943E-02    0.753E-02    0.857E-03    0.000E+00    0.346E-02    2.38    0.523E-04    0.669E-02
  0.0500   40.00   -0.267E+00   -0.439E-04    0.392E-04    0.952E-01    0.869E-01    0.110E+00    0.532E-01    0.832E-02    0.615E-02    0.595E-03    0.000E+00    0.446E-02    2.33    0.494E-04    0.847E-02
  0.0500   50.00   -0.370E+00   -0.445E-04    0.359E-04    0.150E+00    0.886E-01    0.724E-01    0.464E-01    0.840E-02    0.474E-02   -0.624E-03    0.000E+00    0.414E-02    2.19    0.364E-04    0.100E-01
  0.0500   60.00   -0.367E+00   -0.446E-04    0.335E-04    0.189E+00    0.956E-01    0.385E-01    0.368E-01    0.694E-02    0.518E-02   -0.919E-03    0.000E+00    0.392E-02    2.38    0.132E-04    0.106E-01
  0.0500   80.00   -0.378E+00   -0.433E-04    0.276E-04    0.205E+00    0.897E-01    0.223E-01    0.441E-01    0.966E-02    0.623E-02   -0.125E-03    0.000E+00    0.732E-02    2.47   -0.144E-05    0.107E-01
  0.0500  100.00   -0.343E+00   -0.382E-04    0.251E-04    0.206E+00    0.836E-01   -0.125E-01    0.445E-01    0.115E-01    0.605E-02   -0.280E-03    0.000E+00    0.114E-01    2.18   -0.421E-05    0.105E-01
