#    Z       m        H              D           He3            He4          C12           O16            Ne20       Mg24          Si28        S32           Ca40         Fe56         Mrem     C13s           N14s
  0.0500   15.00   -0.159E+00   -0.437E-04   -0.102E-04    0.812E-01    0.610E-02       0.396E-01    0.115E-01   -0.152E-02    0.105E-01    0.599E-02    0.389E-03    0.238E-02      1.33    0.158E-03    0.656E-02
  0.0500   18.00   -0.184E+00   -0.430E-04   -0.104E-04    0.739E-01    0.918E-02       0.563E-01    0.219E-01   -0.281E-02    0.745E-02    0.221E-02   -0.611E-03    0.230E-02      1.89    0.129E-03    0.543E-02
  0.0500   19.00   -0.172E+00   -0.422E-04   -0.974E-05    0.698E-01    0.130E-01       0.790E-01    0.526E-04    0.000E+00    0.236E-01    0.101E-01    0.163E-04    0.226E-02      2.31    0.117E-03    0.506E-02
  0.0500   20.00   -0.209E+00   -0.427E-04   -0.105E-04    0.543E-01    0.123E-02       0.113E+00    0.600E-02    0.000E+00    0.179E-01    0.805E-02   -0.537E-03    0.222E-02      2.21    0.107E-03    0.500E-02
  0.0500   22.00   -0.228E+00   -0.440E-04   -0.122E-04    0.564E-01    0.476E-02       0.108E+00    0.577E-02   -0.140E-03    0.173E-01    0.542E-02   -0.550E-03    0.216E-02      1.84    0.965E-04    0.512E-02
  0.0500   25.00   -0.260E+00   -0.438E-04   -0.112E-04    0.584E-01    0.976E-02       0.134E+00    0.391E-01    0.000E+00    0.609E-02   -0.942E-03   -0.574E-03    0.211E-02      2.20    0.831E-04    0.537E-02
  0.0500   30.00   -0.293E+00   -0.451E-04   -0.129E-04    0.375E-01    0.185E-02       0.168E+00    0.363E-02    0.243E-02    0.154E-01    0.377E-02   -0.386E-03    0.202E-02      1.81    0.682E-04    0.605E-02
  0.0500   35.00   -0.256E+00   -0.411E-04   -0.122E-04    0.585E-01    0.206E-02       0.150E+00    0.294E-01    0.178E-02    0.237E-02   -0.376E-03   -0.754E-03    0.191E-02      5.00    0.588E-04    0.656E-02
  0.0500   40.00   -0.334E+00   -0.394E-04   -0.177E-04    0.184E-01    0.141E-02       0.124E+00    0.216E-01    0.703E-03    0.146E-02   -0.653E-03   -0.730E-03    0.169E-02      7.13    0.434E-04    0.649E-02
  0.0500   60.00   -0.249E+00   -0.189E-04   -0.114E-04    0.353E-01    0.249E-02       0.710E-01    0.417E-02   -0.155E-02    0.000E+00    0.000E+00   -0.328E-03    0.124E-02     36.35    0.324E-04    0.725E-02
  0.0500  100.00   -0.284E-01   -0.216E-05   -0.131E-05    0.502E-01    0.342E-02       0.282E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.400E-06    0.874E-03     95.50    0.240E-04    0.789E-02
